user_id,lon,lat,created_at,text,state,county,city,topic_related,dis_related,dmg_related,sentiment,
41679815,-97.31913,32.75596,9/10/2017,"Accident. three left lanes blocked in #FortWorth on 35W NB at Spur 280, stop and go traffic back to 30, delay of 2 mins #DFWTraffic",Texas,Tarrant County,Fort Worth,1,0,0,0,
249818911,-95.37877,29.68686,8/28/2017,High water affecting all main lanes in #SouthSide on Hwy 288 NB at Holly Hall #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0,
249818911,-95.41284,29.73079,9/8/2017,"Accident blocks 2 right lanes and a right shoulder in #GreenwayUpperKirby on 69 SW Fwy Inbound at Shepherd, stop ... https://t.co/vuUN2yElDh",Texas,Harris County,Houston,1,0,0,0,
31516136,-96.73925,32.90466,9/3/2017,"Did you read the classic, ""Cat On A Warm Wooden Fence""? @ J &amp; J's Fast Lane to Enlightenment and?? https://t.co/9A9XuPF6SO",Texas,Dallas County,Dallas,0,0,0,,
249818911,-95.10662,29.78542,8/30/2017,High water affecting all main lanes in #EastSide on I-10 Baytown E Fwy WB at Cedar Ln #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Channelview,1,1,1,0,
249818911,-95.27208,29.77693,8/28/2017,High water affecting three lanes in #EastSide on I-10 E Fwy Frontage Rd WB at Gellhorn #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0,
41679815,-96.89811,32.90762,9/1/2017,"Disabled vehicle, left lane blocked in #Dallas on 35E NB at 635 Lbj Frwy, stop and go traffic back to Walnut Hl Ln, delay of 5 mins",Texas,Dallas County,Dallas,1,0,0,0,
249818911,-95.34603,29.60018,8/30/2017,High water affecting all main lanes in #Southside on S Sam Houston Tollway EB at Cullen #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0,
249818911,-95.2653,29.7696,8/24/2017,"Left lane blocked by police units in #Eastside on 610 E Lp SB at Market, stop and go traffic back to Mccarty, delay of 6 mins #traffic",Texas,Harris County,Houston,1,0,0,0,
41679815,-96.61661,32.71929,8/21/2017,"Accident. three left lanes blocked in #BalchSprings on 635 LBJ Fwy NB at Elam Rd, stop and go traffic back to 20, delay of 5 mins",Texas,Dallas County,Balch Springs,1,0,0,0,
249818911,-95.66652,29.78471,8/26/2017,"Accident blocks 2 right lanes. in #WestSide on I-10 Katy Fwy Inbound at Park Ten, stop and go traffic back to Fry Rd., delay of 8 mins",Texas,Harris County,Houston,1,0,0,0,
41679815,-97.06256,32.70516,8/24/2017,"Accident, left lane blocked in #Arlington on 360 SB at Pioneer Pkwy, stop and go traffic back to 183, delay of 26 mins #DFWTraffic",Texas,Tarrant County,Arlington,1,0,0,0,
