user_id,lon,lat,created_at,text,state,county,city,topic_related,dis_related,dmg_related,sentiment
608646901,-95.7499014,29.6706697,9/7/2017,"You'll float, too... ð @ Regal Grand Parkway 22 https://t.co/vBoSzLPWoY",Texas,Fort Bend County,Pecan Grove,0,0,0,
110599148,-95.3832,29.7629,8/28/2017,Flood photos from the Allen Parkway area of Houston - My former neighborhood from my time there.?? https://t.co/n9vkTgdz6v,Texas,Harris County,Houston,0,1,1,0
431718707,-96.82064727,32.95159346,8/21/2017,"I'm at Village On The Parkway in Dallas, TX https://t.co/5x1jRh1HbJ",Texas,Dallas County,Addison,0,0,0,
502405629,-95.3804756,29.5983546,9/2/2017,Know anyone in need please share and have them come by our studio (2955 S. Sam Houston Parkway?? https://t.co/Ia7eeMpJgJ,Texas,Harris County,Minnetex,0,1,0,1
52998368,-96.82058941,32.95037841,9/16/2017,"No razonarÃ©, ni compararÃ©; mi tarea es crear.

William Blake en Village On The Parkway https://t.co/vnaJb4OnJi",Texas,Dallas County,Dallas,0,0,0,
80648856,-95.6238599,29.75835,8/31/2017,Mischievous glimmer in her eyes ???????????????????? @ AMLI on Eldridge Parkway https://t.co/fopya1cEfy,Texas,Harris County,Houston,0,0,0,
35778743,-95.39310088,29.76182363,8/31/2017,Downed trees on Allen Parkway after Hurricane Harvey. @ Buffalo Bayou Park https://t.co/JpG4Mcj7vo,Texas,Harris County,Houston,1,1,1,0
463945797,-95.38480251,29.76132431,8/24/2017,Just posted a photo @ Allen Parkway Running Trail https://t.co/UDO3ryr31J,Texas,Harris County,Houston,0,0,0,
608646901,-95.7499014,29.6706697,9/7/2017,ð @ Regal Grand Parkway 22 https://t.co/Rre0Ni1vHx,Texas,Fort Bend County,Pecan Grove,0,0,0,
262455385,-95.78088323,29.76555806,8/28/2017,Seguimos al pie del ca????n aqu?? en #houston #inundaciones #ntn24 #noticiasrcn @ Sorrel Grand Parkway https://t.co/yCNjcKLpbe,Texas,Harris County,Katy Gap Road,0,0,0,
52998368,-96.82058941,32.95037841,9/8/2017,"Tu mejor maestro es tu Ãºltimo error.

Ralph Nader en Village On The Parkway https://t.co/U8GMwt7TId",Texas,Dallas County,Dallas,0,0,0,
432814176,-95.0556,29.7872,8/31/2017,#Latergram - 08/30/2017 - Checking out Independence Parkway - formerly Ferry Road - the main?? https://t.co/ZGjtpOp9c3,Texas,Harris County,Lynchburg,0,0,0,
58624342,-96.77401775,32.79755357,9/5/2017,Petition underway to rename Houston highway JJ Watt Parkway https://t.co/7Vaeli6ff4,Texas,Dallas County,Dallas,0,0,0,
1223714029,-95.5162096,29.9366762,8/23/2017,"I'm at Hwy 249 Tomball Parkway/Sam Houston Tollway in Houston, TX https://t.co/vfystvZW4O",Texas,Harris County,Hudson,0,0,0,
1223714029,-95.5162096,29.9366762,8/22/2017,"I'm at Hwy 249 Tomball Parkway/Sam Houston Tollway in Houston, TX https://t.co/ZEtS469MiX",Texas,Harris County,Hudson,0,0,0,
